"SHRINE_PATH","HERON_PATH"
"\\ACT_VISIT\ACT\Visit Details\","\\ACT_VISIT\ACT\Visit Details\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\01 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\01 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\02 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\02 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\03 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\03 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\04 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\04 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\05 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\05 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\06 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\06 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\07 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\07 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\08 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\08 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\09 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\09 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\10 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\10 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\11 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\11 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\12 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\12 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\0 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\13 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\13 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\14 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\14 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\15 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\15 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\16 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\16 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\17 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\17 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\18 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\18 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\19 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\19 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\20 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\20 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\21 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\21 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\22 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\22 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\23 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\23 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\24 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\24 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\1 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\25 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\25 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\26 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\26 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\27 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\27 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\28 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\28 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\29 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\29 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\30 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\30 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\31 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\31 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\32 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\32 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\33 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\33 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\34 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\34 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\35 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\35 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\36 months\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\36 months\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\2 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\3 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\3 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\4 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\4 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\5 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\5 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\6 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\6 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\7 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\7 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\8 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\8 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\9 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\9 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\0-9 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\10 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\10 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\11 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\11 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\12 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\12 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\13 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\13 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\14 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\14 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\15 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\15 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\16 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\16 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\17 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\17 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\10-17 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\18 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\18 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\19 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\19 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\20 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\20 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\21 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\21 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\22 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\22 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\23 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\23 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\24 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\24 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\25 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\25 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\26 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\26 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\27 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\27 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\28 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\28 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\29 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\29 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\30 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\30 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\31 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\31 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\32 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\32 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\33 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\33 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\34 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\34 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\18-34 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\35 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\35 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\36 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\36 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\37 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\37 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\38 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\38 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\39 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\39 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\40 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\40 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\41 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\41 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\42 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\42 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\43 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\43 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\44 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\44 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\35-44 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\45 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\45 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\46 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\46 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\47 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\47 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\48 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\48 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\49 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\49 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\50 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\50 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\51 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\51 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\52 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\52 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\53 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\53 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\54 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\54 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\45-54 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\55 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\55 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\56 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\56 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\57 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\57 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\58 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\58 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\59 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\59 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\60 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\60 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\61 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\61 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\62 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\62 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\63 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\63 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\64 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\64 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\55-64 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\65 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\65 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\66 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\66 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\67 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\67 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\68 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\68 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\69 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\69 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\70 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\70 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\71 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\71 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\72 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\72 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\73 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\73 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\74 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\74 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\65-74 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\>= 65 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\>= 65 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\75 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\75 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\76 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\76 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\77 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\77 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\78 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\78 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\79 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\79 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\80 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\80 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\81 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\81 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\82 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\82 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\83 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\83 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\84 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\84 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\75-84 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\85 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\85 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\86 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\86 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\87 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\87 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\88 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\88 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\89 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\89 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\85-89 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\>= 85 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\>= 85 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\>= 90 years old\","\\ACT_VISIT\ACT\Visit Details\Age at visit\>= 90 years old\"
"\\ACT_VISIT\ACT\Visit Details\Age at visit\","\\ACT_VISIT\ACT\Visit Details\Age at visit\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\ > 10 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\ > 10 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\10 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\10 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\1 day\","\\ACT_VISIT\ACT\Visit Details\Length of stay\1 day\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\2 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\2 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\3 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\3 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\4 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\4 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\5 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\5 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\6 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\6 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\7 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\7 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\8 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\8 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\9 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\9 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\","\\ACT_VISIT\ACT\Visit Details\Length of stay\"
"\\ACT_VISIT\ACT\Visit Details\Version\","\\ACT_VISIT\ACT\Visit Details\Version\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\","\\ACT_VISIT\ACT\Visit Details\Visit type\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\ER visit admit to inpatient\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\EI\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\ER visit\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\ED\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\Inpatient visit\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\IP\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\No Information\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\NI\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\Non-Acute visit\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\IS\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\Other Outpatient visit\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\OT\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\Outpatient visit\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\AV\"
